prix_fcfa,superficie_m2,nombre_pieces,nombre_salles_bain,jardin,piscine,parking,terrasse,cuisineEquipee,securisee,balcon,cite,meuble,basse,duplex,triplex
150000000.0,300.0,5.0,4.0,1,0,0,1,0,0,0,1,0,0,1,0
80000000.0,200.0,5.0,3.0,0,0,1,1,1,0,0,1,1,0,1,0
370000000.0,500.0,6.0,5.0,0,0,1,0,1,0,0,0,1,0,1,0
950000000.0,800.0,5.0,7.0,1,1,1,1,1,0,0,0,1,1,0,0
365000000.0,460.0,6.0,4.0,1,1,1,1,1,1,1,1,1,0,1,0
160000000.0,400.0,8.0,8.0,1,1,1,0,1,0,0,0,1,0,1,0
80000000.0,200.0,5.0,3.0,0,0,1,0,0,0,0,0,0,0,1,0
95000000.0,300.0,4.0,3.0,0,0,1,1,0,0,0,1,0,1,0,0
160000000.0,350.0,6.0,6.0,1,0,1,1,1,1,1,0,1,0,1,0
59000000.0,307.0,4.0,3.0,1,0,1,0,1,1,0,0,1,0,0,0
60000000.0,160.0,3.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0
180000000.0,300.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0
150000000.0,300.0,5.0,4.0,1,0,0,1,0,0,0,1,0,0,1,0
400000000.0,617.0,8.0,6.0,0,0,1,0,1,1,0,1,1,0,0,0
250000000.0,240.0,7.0,5.0,0,0,0,0,1,0,0,0,1,0,0,1
550000000.0,700.0,12.0,8.0,1,1,1,1,0,0,0,0,0,0,1,0
550000000.0,700.0,12.0,8.0,1,1,1,1,0,0,0,0,0,0,1,0
150000000.0,280.0,9.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0
350000000.0,260.0,6.0,5.0,1,1,1,1,1,0,1,0,1,0,0,1
450000000.0,430.0,8.0,8.0,0,1,0,0,1,0,0,0,1,0,1,0
750000000.0,800.0,12.0,7.0,0,1,1,0,0,0,0,0,0,0,1,0
65000000.0,200.0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0
1500000000.0,1200.0,11.0,11.0,0,1,0,0,0,1,0,0,0,0,1,0
300000000.0,700.0,5.0,4.0,1,1,1,1,1,0,0,0,1,0,0,0
75000000.0,230.0,5.0,4.0,0,0,1,1,1,0,0,0,1,0,1,0
160000000.0,385.0,5.0,4.0,0,1,0,1,0,1,0,1,0,0,1,0
140000000.0,230.0,5.0,5.0,0,1,0,1,1,0,0,0,1,1,0,0
240000000.0,360.0,5.0,5.0,0,0,0,0,1,0,0,1,1,1,0,0
950000000.0,800.0,5.0,5.0,1,1,1,1,1,1,0,0,1,0,1,0
36000000.0,200.0,4.0,2.0,0,0,0,0,0,0,0,1,0,1,0,0
150000000.0,250.0,4.0,4.0,1,0,1,0,1,0,0,0,1,0,1,0
150000000.0,300.0,5.0,5.0,1,0,0,1,0,0,0,1,0,0,1,0
165000000.0,300.0,5.0,3.0,1,0,1,1,0,0,0,1,0,0,1,0
180000000.0,500.0,8.0,8.0,1,0,1,1,1,0,0,1,1,0,1,0
1200000000.0,1200.0,7.0,7.0,1,0,1,1,1,0,0,0,1,1,0,0
300000000.0,300.0,5.0,4.0,1,1,1,0,1,1,0,0,1,0,1,0
850000000.0,672.0,4.0,7.0,1,0,1,1,1,1,0,1,1,0,1,0
160000000.0,230.0,5.0,5.0,0,0,1,0,1,1,0,0,1,0,1,0
59000000.0,307.0,4.0,4.0,1,0,1,1,1,1,0,0,1,1,0,0
1200000000.0,1200.0,7.0,5.0,1,0,1,1,1,0,0,0,1,1,0,0
140000000.0,230.0,5.0,5.0,0,1,0,1,1,0,0,0,1,1,0,0
150000000.0,250.0,6.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0
300000000.0,546.0,8.0,8.0,1,0,1,1,1,0,1,0,1,0,1,0
95000000.0,320.0,5.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0
160000000.0,350.0,6.0,4.0,1,0,1,0,0,0,0,0,0,0,1,0
95000000.0,300.0,4.0,3.0,0,0,0,1,0,0,0,0,0,1,0,0
175000000.0,300.0,6.0,4.0,0,0,1,0,0,0,0,0,0,0,1,0
700000000.0,559.0,6.0,4.0,1,1,1,1,1,1,0,1,1,0,1,0
150000000.0,300.0,5.0,4.0,0,1,1,0,0,1,0,0,0,0,1,0
390000000.0,460.0,7.0,7.0,0,1,1,0,0,0,0,1,0,0,1,0
160000000.0,350.0,6.0,5.0,0,0,0,1,0,1,0,1,0,0,1,0
180000000.0,250.0,6.0,4.0,0,0,1,1,0,0,0,1,0,0,1,0
100000000.0,320.0,4.0,3.0,0,0,1,1,0,0,0,1,0,1,0,0
160000000.0,350.0,6.0,4.0,1,0,1,0,0,0,0,0,0,0,1,0
150000000.0,300.0,5.0,4.0,1,0,0,1,0,0,0,1,0,0,1,0
65000000.0,200.0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0
450000000.0,617.0,6.0,6.0,0,0,1,0,1,1,0,1,1,0,1,0
280000000.0,300.0,5.0,4.0,1,1,1,0,1,1,0,0,1,0,1,0
60000000.0,160.0,3.0,1.0,0,0,0,1,1,0,0,1,1,1,0,0
160000000.0,300.0,5.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0
375000000.0,460.0,6.0,4.0,1,1,1,1,1,0,1,1,1,0,1,0
1200000000.0,1200.0,7.0,5.0,1,0,1,1,1,0,0,0,1,1,0,0
130000000.0,427.0,5.0,4.0,0,0,0,1,0,0,0,1,0,0,1,0
185000000.0,300.0,5.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0
70000000.0,200.0,5.0,4.0,0,0,1,0,1,0,0,0,1,0,1,0
1200000000.0,800.0,5.0,4.0,1,1,1,1,1,0,0,0,1,1,0,0
55000000.0,250.0,5.0,5.0,0,0,1,1,1,0,0,0,1,0,1,0
400000000.0,406.0,8.0,5.0,1,0,0,1,1,0,0,1,1,0,1,0
135000000.0,250.0,6.0,5.0,0,0,1,1,0,0,0,0,0,0,1,0
375000000.0,460.0,7.0,6.0,1,1,1,0,1,0,1,1,1,0,1,0
300000000.0,200.0,3.0,2.0,0,0,1,0,1,1,0,1,1,0,0,1
290000000.0,300.0,6.0,4.0,1,1,1,0,1,1,0,1,1,0,1,0
160000000.0,350.0,6.0,5.0,1,0,1,0,0,0,0,1,0,0,1,0
220000000.0,330.0,7.0,7.0,0,1,1,0,1,1,0,1,1,0,1,0
50000000.0,200.0,4.0,3.0,0,0,0,1,1,0,0,1,1,1,0,0
150000000.0,300.0,5.0,4.0,1,0,0,1,0,0,0,1,0,0,1,0
185000000.0,300.0,6.0,5.0,0,1,0,0,0,0,0,1,0,0,1,0
80000000.0,200.0,4.0,3.0,0,0,1,1,0,0,0,1,0,0,1,0
375000000.0,460.0,7.0,5.0,1,1,1,1,1,0,1,1,1,0,1,0
1500000000.0,5000.0,5.0,5.0,0,1,0,0,0,0,0,1,1,0,1,0
10000000.0,150.0,3.0,2.0,0,0,0,0,0,0,0,1,0,1,0,0
1500000000.0,2055.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0
375000000.0,460.0,7.0,6.0,1,1,1,1,1,0,1,1,1,0,1,0
375000000.0,460.0,7.0,5.0,1,1,1,1,1,0,1,1,1,0,1,0
250000000.0,380.0,7.0,5.0,1,0,1,1,0,0,0,1,0,0,1,0
140000000.0,230.0,4.0,4.0,1,1,1,0,1,0,0,1,1,1,0,0
570000000.0,500.0,9.0,7.0,1,1,1,1,1,0,0,1,1,0,1,0
300000000.0,600.0,6.0,4.0,1,1,1,1,1,1,1,1,1,0,1,0
150000000.0,300.0,5.0,5.0,0,1,1,1,0,1,0,1,0,0,1,0
650000000.0,800.0,9.0,6.0,1,1,1,1,1,0,0,1,1,0,1,0
